Author;Type of resin;Isophtalic polyester resin;Orthophtalic polyester resin;Vinylester resin;Phenolic resin;Epoxy resin;Type of fiber;Glass fiber;Carbon fiber;Basalt fiber;Manufacturing process;Pultrusion;Hand lay-up;Filament winding;VARTM;Fiber volume fraction;Profile thickness (mm);Coupon description;Aging effect;Steady condition;Cyclic condition;Immersion;Moisture;Presence of salts;Salt concentration (g/L);pH;Relative humidity;Sustained loading;Exposure time (hours);Exposure time (days);log10(t);Min. exposure temperature (°C);Max. exposure temperature (°C);Avg. exposure temperature (°C);Temperature range (°C);Temperature x time;k(T);1/T (Kelvin);Unaged elastic modulus (GPa);Residual elastic modulus (GPa);Elastic modulus retention
Liao et al. (1999);Vinylester;0;0;1;0;0;Glass;1;0;0;-;-;-;-;-;0.34;6.4;plate;control;-;-;-;-;-;0;7.5;1;-;0;0;0;-;-;25;-;0;7.242;3.354;18.6;18.6;1
Liao et al. (1999);Vinylester;0;0;1;0;0;Glass;1;0;0;-;-;-;-;-;0.34;6.4;plate;deionized water;-;-;-;-;-;0;6;1;-;9120;380;2.581;-;-;25;-;432.7;7.242;3.354;18.6;14.4;0.77
Shao and Kouadio (2002);Polyester;1;0;0;0;0;Glass;1;0;0;-;-;-;-;-;0.58;4.7;top flange of sheet pile panel;control;-;-;-;-;-;0;7.5;1;-;0;0;0;-;-;23;-;0;5.903;3.377;29.9;29.9;1
Shao and Kouadio (2002);Polyester;1;0;0;0;0;Glass;1;0;0;-;-;-;-;-;0.58;4.7;top flange of sheet pile panel;distilled water;-;-;-;-;-;0;6;1;-;672;28;1.462;-;-;23;-;338.1;5.903;3.377;29.9;28.3;0.95
Shao and Kouadio (2002);Polyester;1;0;0;0;0;Glass;1;0;0;-;-;-;-;-;0.58;4.7;top flange of sheet pile panel;distilled water;-;-;-;-;-;0;6;1;-;672;28;1.462;-;-;70;-;1028.9;382.835;2.914;29.9;28.3;0.95
Shao and Kouadio (2002);Polyester;1;0;0;0;0;Glass;1;0;0;-;-;-;-;-;0.58;4.7;top flange of sheet pile panel;distilled water;-;-;-;-;-;0;6;1;-;2568;107;2.033;-;-;23;-;368.9;5.903;3.377;29.9;29.4;0.98
Shao and Kouadio (2002);Polyester;1;0;0;0;0;Glass;1;0;0;-;-;-;-;-;0.58;4.7;top flange of sheet pile panel;distilled water;-;-;-;-;-;0;6;1;-;2568;107;2.033;-;-;70;-;1122.8;382.835;2.914;29.9;30.7;1.03
Shao and Kouadio (2002);Polyester;1;0;0;0;0;Glass;1;0;0;-;-;-;-;-;0.58;4.7;top flange of sheet pile panel;distilled water;-;-;-;-;-;0;6;1;-;4608;192;2.286;-;-;23;-;382.4;5.903;3.377;29.9;30.5;1.02
Shao and Kouadio (2002);Polyester;1;0;0;0;0;Glass;1;0;0;-;-;-;-;-;0.58;4.7;top flange of sheet pile panel;distilled water;-;-;-;-;-;0;6;1;-;4608;192;2.286;-;-;70;-;1163.7;382.835;2.914;29.9;28.5;0.95
Shao and Kouadio (2002);Polyester;1;0;0;0;0;Glass;1;0;0;-;-;-;-;-;0.58;4.7;top flange of sheet pile panel;distilled water;-;-;-;-;-;0;6;1;-;6240;260;2.417;-;-;23;-;389.3;5.903;3.377;29.9;32.3;1.08
